text,Sentiment,Score
"b'The lone occupant of the plane, a 41-year-old man from Clavet, reported no injuries.  https://t.co/zDUL4NAdVk\\u2026 https://t.co/jd1v0NUtDo'",positive,0.051171875
b'3 pm wait time 75 minutes #yxe',positive,0.021875
"b""RT @PQuinlanGlobal: WATCH: See inside Canada's newest &amp; fanciest radar station &amp; find out how it'll help forecasting tornadoes tonight on G\\u2026""",negative,-0.004207498010467081
b'RT @PQuinlanGlobal: Canada\\u2019s newest weather radar station is now up &amp; running NW of Saskatoon near Radisson! We take you on a tour tonight\\u2026',positive,0.004488263607360717
"b""Getting prep'd for @MCCSask Relief Sale June 8-9, promoting #ecumenical project to help #endhunger. Come experience\\u2026 https://t.co/igqQxIDISN""",positive,0.038833822060301566
b'RT @CBCSask: Thanks to Billy Gossen @ytgoose for sharing these incredible #skstorm photos of knocked down power poles from Coronach #Sask\\u2026',positive,0.0014973958333333334
b'$100K being raised to support women-led health care innovation at #Sask hospital #yxe @RUHFoundation https://t.co/FE19TR0mhZ',positive,0.011131084337830544
"b""Whether you're planning new #construction or just replacing your current doors, @cpdistributors  can provide a comp\\u2026 https://t.co/0ZbxaP9KuF""",negative,-0.000494384765625
b'A Perfect Cup Of Coffee Cannot Be Perfect If The Cup Is Imperfect.\\n\\nWe Can Build Your Brand And Stand Out To Potent\\u2026 https://t.co/k0JCxoRq7Z',positive,0.017039905894886364
b'RT @PokoPopcorn: The secret ingredient to the #Monday Blues is some White Cheddar Popcorn and celebrating #NationalCheeseDay! \\U0001f37f\\U0001f9c0 #popcorn #\\u2026',negative,-0.0142822265625
"b'""If you generally cared about the impact that you had on a community would you want to subject them to this again?\\u201d\\u2026 https://t.co/6MVjSjKneQ'",positive,0.027901785714285716
"b'Kicking off our Afternoon with ""Jackie Chan"" By Tiesto, Dzeko (feat. Preme, Post Malone) on the Beosound 2 in Brass\\u2026 https://t.co/N9Wd4hvWqZ'",positive,0.009390024038461538
"b'RT @charlieclarkyxe: This is a huge quantity of drugs creating tremendous harm in our community.  \\n\\n21kg of methamphetamine, ~4,400 Fentany\\u2026'",negative,-0.03622159090909091
"b'RT @CBCSask: 12,000 pigs were killed in this barn #skfire on Eagle Creek Farm northeast of Rosetown, #Sask on Friday night.\\n\\nThere were 12\\u2026'",negative,-0.006417410714285714
b'@nspowerinc fire in Timberlea but causing power outage but also heard a loud bang at the top of Charles Rd. Possible transformer blow up?',positive,0.024495442708333332
"b""What you mean our @nspowerinc monopoly isn't good for our province? @StephenMcNeil @nsgov https://t.co/zCgOXt9RQ0""",negative,-0.06713476445939806
"b'RT @nspowerinc: We \\u2764\\ufe0f the #IWKTelethon! Renee, Pam and Aili presented NS Power and Emera Canadian affiliate employees\\u2019 donations. https://t\\u2026'",positive,0.0008463541666666667
b'RT @TheActaFist777: Nova Scotians NOT OK with benefiting from cultural genocide @ #MuskratFalls\\n\\nhttps://t.co/lTlf3f3cp9\\n\\n#Halifax #NovaSco\\u2026',positive,0.033854166666666664
"b'RT @nspowerinc: #DoorsOpenHFX Come down and chat with our team to enter for a chance to win a $5,000 Heat Pump Package, courtesy of Mitsubi\\u2026'",positive,0.07491629464285714
b'@nspowerinc Your website is hard to read. The grey text on white background offers too little contrast. Please impr\\u2026 https://t.co/WZuh8BQwQV',negative,-0.025861467633928572
b'@nspowerinc what up ??? Power out in downtown dart.  Nothing on your website ... get your shit together',negative,-0.018666268114530895
b'RT @nspowerinc: We\\u2019re all set to see everybody! \\U0001f4f8\\U0001f30a#doorsopenhalifax https://t.co/XxGWVNWqRE',positive,0.011928832956722804
"b'RT @nspowerinc: #DoorsOpenHFX Come down and chat with our team to enter for a chance to win a $5,000 Heat Pump Package, courtesy of Mitsubi\\u2026'",positive,0.07491629464285714
b'RT @nspowerinc: Outage in Mahone Bay area caused by damage to equipment. Get the latest at https://t.co/cKMppFqg0n. https://t.co/nwhJoWnucf',positive,0.0005988336130170724
"b'RT @nspowerinc: #DoorsOpenHFX Come down and chat with our team to enter for a chance to win a $5,000 Heat Pump Package, courtesy of Mitsubi\\u2026'",positive,0.07491629464285714
b'RT @NewsmanKeith: TRAFFIC ALERT: Section of Hwy 325 between former Mahone Auto in Blockhouse and Big Lots Rd. in Maitland closed for now as\\u2026',negative,-0.0068705240885416664
b'TRAFFIC ALERT: Section of Hwy 325 between former Mahone Auto in Blockhouse and Big Lots Rd. in Maitland closed for\\u2026 https://t.co/r5LOGRKVSA',negative,-0.007361275809151786
"b'RT @nspowerinc: #DoorsOpenHFX Come down and chat with our team to enter for a chance to win a $5,000 Heat Pump Package, courtesy of Mitsubi\\u2026'",positive,0.07491629464285714
"b""RT @CleanFoundation: Visit the https://t.co/cZ1Q5MtJe2 booth @nspowerinc's waterfront HQ during #doorsopenhalifax today. https://t.co/njnOm\\u2026""",positive,0.00458984375
b'Um brinde ao \\U0001f31e #canada\\U0001f1e8\\U0001f1e6 #quebec \\U0001f942\\U0001f37e\\U0001f942 https://t.co/w7OpcnetNx https://t.co/BsKlcJIRP6',netural,0.0
"b'RT @shahnazfarzaneh: If anyone except Khamanie regime to change even a tiny bit, is definitely hallucinating. #IranProtests is strong with\\u2026'",positive,0.006422776442307692
